B16M1D2T1,Video_20240823232706501.avi,T00:10:11.833,18354,A+E,,1,0
B16M1D2T2,Video_20240823232706501.avi,T00:11:35.066,20851,E,,1,0
B16M1D2T3,Video_20240823232706501.avi,T00:14:26.633,25998,E,,1,0
B16M1D2T4,Video_20240823232706501.avi,T00:17:20.166,31204,A+E,,1,0
B16M1D2T5,Video_20240823232706501.avi,T00:19:32.000,35160,E,,1,0
B16M1D2T6,Video_20240823232706501.avi,T00:22:17.933,40137,E,,1,0
B16M1D2T7,Video_20240823232706501.avi,T00:28:47.233,51816,E,,1,0
B17M2D2T1,Video_20240824002146995.avi,T00:10:29.453,18907,,F,0,1
B17M2D2T2,Video_20240824002146995.avi,T00:13:10.312,23739,,F,0,1
B17M2D2T3,Video_20240824002146995.avi,T00:17:05.907,30816,,A+E,0,1
B17M2D2T4,Video_20240824002146995.avi,T00:23:08.406,41705,,F,0,1
B17M2D2T5,Video_20240824002146995.avi,T00:29:40.466,53482,,F,0,1
B17M1D2T1,Video_20240824011629202.avi,T00:10:30.766,18922,A+E,,1,0
B17M1D2T2,Video_20240824011629202.avi,T00:12:16.100,22083,A+E,,1,0
B17M1D2T3,Video_20240824011629202.avi,T00:14:18.166,25744,E,,1,0
B17M1D2T4,Video_20240824011629202.avi,T00:18:52.933,33987,A+E,,1,0
B17M1D2T5,Video_20240824011629202.avi,T00:20:43.966,37318,A+E,,1,0
B17M1D2T6,Video_20240824011629202.avi,T00:24:41.966,44458,E,,1,0
B17M1D2T7,Video_20240824011629202.avi,T00:29:33.933,53217,F+E,,1,0
B17M1D2T8,Video_20240824011629202.avi,T00:34:12.966,61588,E,,1,0
B17M1D2T9,Video_20240824011629202.avi,T00:36:19.300,65379,E,,1,0
B18M2D2T1,Video_20240824021130041.avi,T00:10:30.629,18899,,F,0,1
B18M2D2T2,Video_20240824021130041.avi,T00:12:13.833,21992,,I,0,1
B18M2D2T3,Video_20240824021130041.avi,T00:16:05.197,28926,,I,0,1
B18M2D2T4,Video_20240824021130041.avi,T00:20:31.863,36918,,F+E,0,1
B18M2D2T5,Video_20240824021130041.avi,T00:22:43.061,40850,,F,0,1
B18M2D2T6,Video_20240824021130041.avi,T00:30:31.763,54897,,F,0,1
B18M2D2T7,Video_20240824021130041.avi,T00:32:32.417,58513,,F,0,1
B18M2D2T8,Video_20240824021130041.avi,T00:34:12.516,61513,,F,0,1
B18M1D2T1,Video_20240824030530481.avi,T00:10:21.533,18645,F,,1,0
B18M1D2T2,Video_20240824030530481.avi,T00:11:59.766,21592,A+E,,1,0
B18M1D2T3,Video_20240824030530481.avi,T00:25:19.933,45597,F,,1,0
B18M1D2T4,Video_20240824030530481.avi,T00:29:18.100,52743,A,,1,0
B19M2D2T1,Video_20240824040020200.avi,T00:11:05.618,19974,,F,0,1
B19M2D2T2,Video_20240824040020200.avi,T00:15:45.694,28379,,A+E,0,1
B19M1D2T1,Video_20240824074434610.avi,T00:10:45.700,19371,A+E,,1,0
B19M1D2T2,Video_20240824074434610.avi,T00:15:05.600,27168,F+E,,1,0
B19M1D2T3,Video_20240824074434610.avi,T00:23:26.500,42195,I,,1,0
B19M1D2T4,Video_20240824074434610.avi,T00:27:55.100,50253,N,,1,0
B19M1D2T5,Video_20240824074434610.avi,T00:32:15.933,58077,N,,1,0
B20M2D2T1,Video_20240824084140333.avi,T00:10:32.249,18991,,E,0,1
B20M2D2T2,Video_20240824084140333.avi,T00:13:48.229,24878,,E,0,1
B20M2D2T3,Video_20240824084140333.avi,T00:15:51.537,28582,,A+E,0,1
B20M2D2T4,Video_20240824084140333.avi,T00:19:33.850,35260,,E,0,1
B20M2D2T5,Video_20240824084140333.avi,T00:21:32.696,38830,,E,0,1
B20M2D2T6,Video_20240824084140333.avi,T00:25:29.557,45945,,E,0,1
B20M2D2T7,Video_20240824084140333.avi,T00:28:25.163,51220,,E,0,1
B20M2D2T8,Video_20240824084140333.avi,T00:30:36.893,55177,,A+E,0,1
B20M2D2T9,Video_20240824084140333.avi,T00:33:33.132,60471,,E,0,1
B20M2D2T10,Video_20240824084140333.avi,T00:35:43.863,64398,,N,0,1
B20M1D2T1,Video_20240824123520595.avi,T00:12:20.966,22228,A+E,,1,0
B20M1D2T2,Video_20240824123520595.avi,T00:14:35.800,26274,E,,1,0
B20M1D2T3,Video_20240824123520595.avi,T00:30:37.000,55110,E,,1,0
B20M1D2T4,Video_20240824123520595.avi,T00:33:46.333,60789,E,,1,0
B20M1D2T5,Video_20240824123520595.avi,T00:39:42.166,71464,E,,1,0
