group,trial_id,timepoint,before,after,difference
random,D2MD,6343.0,1.0,1.0,0.0
random,D10MS,2510.0,1.0,0.13333333333333333,0.8666666666666667
random,D4MS,8405.0,1.0,1.0,0.0
random,D2MS,6261.0,0.6666666666666666,0.6666666666666666,0.0
random,D6MS,3867.0,0.7333333333333333,1.0,-0.2666666666666667
random,D2MD,5424.0,1.0,0.9666666666666667,0.033333333333333326
random,D11MD,209.0,1.0,1.0,0.0
random,D2MS,3110.0,1.0,1.0,0.0
random,D2MS,5024.0,0.7666666666666667,0.43333333333333335,0.33333333333333337
random,D10MS,8296.0,1.0,1.0,0.0
random,D7MS,5578.0,0.5333333333333333,0.0,0.5333333333333333
random,D4MS,378.0,0.4666666666666667,0.36666666666666664,0.10000000000000003
random,D10MS,1242.0,0.23333333333333334,0.6,-0.36666666666666664
random,D2MS,1918.0,1.0,1.0,0.0
random,D11MS,2892.0,1.0,0.26666666666666666,0.7333333333333334
random,D4MS,8414.0,1.0,1.0,0.0
random,D11MS,4070.0,1.0,0.6666666666666666,0.33333333333333337
random,D5MD,8401.0,0.5333333333333333,0.5333333333333333,0.0
random,D4MD,975.0,0.13333333333333333,1.0,-0.8666666666666667
random,D6MS,4647.0,1.0,1.0,0.0
random,D6MS,2374.0,1.0,1.0,0.0
random,D7MS,358.0,0.7,0.03333333333333333,0.6666666666666666
random,D10MS,6941.0,1.0,1.0,0.0
random,D2MD,2513.0,0.06666666666666667,0.5333333333333333,-0.4666666666666667
random,D4MS,597.0,0.5,1.0,-0.5
random,D2MS,2986.0,0.8666666666666667,1.0,-0.1333333333333333
random,D7MS,4987.0,1.0,0.03333333333333333,0.9666666666666667
random,D10MS,8325.0,1.0,1.0,0.0
random,D2MD,5389.0,1.0,1.0,0.0
random,D6MS,4811.0,1.0,1.0,0.0
random,D6MS,3933.0,1.0,1.0,0.0
random,D3MS,966.0,0.13333333333333333,0.9666666666666667,-0.8333333333333334
random,D3MS,7804.0,0.9,0.43333333333333335,0.4666666666666667
random,D11MS,6460.0,1.0,1.0,0.0
random,D2MS,3401.0,0.03333333333333333,0.8333333333333334,-0.8
random,D3MS,6766.0,1.0,1.0,0.0
random,D4MS,1645.0,0.23333333333333334,1.0,-0.7666666666666666
random,D10MS,3923.0,0.5333333333333333,1.0,-0.4666666666666667
random,D4MS,780.0,1.0,1.0,0.0
random,D6MD,1789.0,1.0,0.36666666666666664,0.6333333333333333
random,D3MS,6811.0,1.0,1.0,0.0
random,D10MS,6475.0,1.0,0.2,0.8
random,D10MS,8282.0,0.5666666666666667,1.0,-0.43333333333333335
random,D6MS,3747.0,1.0,1.0,0.0
random,D10MS,8759.0,1.0,1.0,0.0
random,D11MS,3900.0,0.6333333333333333,1.0,-0.3666666666666667
random,D2MS,2666.0,1.0,1.0,0.0
random,D11MS,6437.0,1.0,1.0,0.0
random,D10MS,6000.0,1.0,1.0,0.0
random,D2MD,4428.0,0.8666666666666667,0.3,0.5666666666666667
random,D2MD,6391.0,0.5,1.0,-0.5
